"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-10","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-11","0.0","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-12","0.0","24.4","34.6","21.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-13","82.8","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-14","0.0","26.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-15","0.0","26.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-16","28.7","24.6","33.1","20.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-17","14.2","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-18","2.5","26.2","34.4","21.7"
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-19","11.9","27.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-20","21.6","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-21","20.1","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-22","0.5","24.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-23","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-24","0.0","27.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-25","1.8","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-26","0.0","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-27","2.3","26.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-28","5.1","25.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-29","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-30","0.0","26.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-08-31","0.0","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-01","3.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-02","14.5","24.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-03","1.5","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-04","0.0","24.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-05","0.0","25.3","32.4","20.6"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-06","20.1","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-07","0.0","23.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-08","7.1","23.6","29.9","17.7"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-09","0.0","24.5","31.7","17.7"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-10","0.0","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-11","0.0","26.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-12","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-13","6.4","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-14","0.0","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-15","1.5","24.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-16","2.0","24.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-17","13.7","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-18","1.0","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-19","20.1","24.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-20","0.0","25.7","32.0","20.9"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-21","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-22","4.8","24.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-23","4.1","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-24","4.8","24.9","31.0","20.8"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-25","0.0","24.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-26","0.0","24.9","32.0","21.8"
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-27","0.0","24.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-28","0.0","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-29","0.0","25.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-09-30","0.0","25.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-01","0.0","25.6","33.1","22.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-02","0.5","24.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-03","0.0","24.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-04","0.0","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-05","0.0","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-06","0.0","25.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-07","0.0","23.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-08","0.0","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-09","0.0","25.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-10","0.0","25.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-11","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-12","0.0","27.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-13","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-14","1.8","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-15","0.0","25.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-16","0.0","24.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-17","0.0","25.1","29.5","21.9"
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-18","4.1","22.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-19","97.3","23.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-20","9.7","22.9","27.6","21.0"
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-21","12.7","23.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-22","0.0","26.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-23","0.3","26.9",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-24","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-25","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-26","7.4","24.1","34.4","20.6"
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-27","0.0","24.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-28","0.0","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-29","0.0","26.1","34.6","21.1"
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-30","60.2","26.3",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-10-31","0.0","26.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-01","0.0","26.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-02","4.8","25.3","33.7","20.6"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-03","0.0","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-04","0.0","24.8",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-05","0.0","25.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-06","0.5","24.8","32.1","20.6"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-07","0.0","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-08","0.0","25.6","32.3","21.6"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-09","0.0","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-10","0.0","25.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-11","0.0","25.7",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-12","0.0","25.2",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-13","0.3","25.0","31.5","20.3"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-14","0.0","24.6","29.5","20.3"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-15","0.0","24.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-16","0.0","24.6",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-17","0.0","26.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-18","0.0","27.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-19","0.0","26.5",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-20","0.0","26.4",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-21","0.0","25.1",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-22","5.8","25.0",,
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-23","0.5","23.4","29.9","20.4"
"MXM00076843","FRANCISCO SARABIA, MX","2015-11-24","0.0","22.9",,
